Gene	ZOIBetaEstimate	ZOIBetaError	ZOIBetaLower95	ZOIBetaUpper95	ZOIBetaTrend	ZINegEstimate	ZINegError	ZINegLower95	ZINegUpper95	ZINegTrend
YJR035W	5.2319001175856	1.26099300985756	2.38708054705047	7.74828073495028	positive	1.49934046485728	0.391467512774516	0.545682714418669	2.21539595820846	positive
YJR040W	5.4357735556185	1.54702330743428	2.55924042350324	9.43122271273036	positive	1.61599233142255	0.397139958081698	0.764896065333981	2.49770435141074	positive
YJR041C	4.97117227864653	1.31749811647212	1.76853161672733	7.51526345541124	positive	1.27364540007549	0.407790981075191	0.169020644706285	2.08145131365503	positive
YJR042W	4.96968961572223	1.316975522838	2.23499744108053	7.74595000900154	positive	1.33773463496283	0.405324155915651	0.267220002973431	2.11045227574128	positive
YJR043C	5.47058701484552	1.37122218435445	2.65369592212967	8.1646801315069	positive	1.6469513228266	0.447517209677502	0.718608586278466	2.63544520151509	positive
YJR044C	4.98504230797006	1.27997567584838	2.55477207219461	8.00929282971002	positive	1.07313352051115	0.371547564287001	0.374230285808107	1.98501555263726	positive
YJR045C	4.57139258439745	1.12442015821752	2.15511511460606	6.85880366297243	positive	1.08934935039738	0.362474883251747	0.353374417168378	1.85996113604884	positive
YJR046W	5.08695130040745	1.38324622214881	2.10462710585107	8.22789169109382	positive	1.35651829276345	0.376611617823013	0.498008983973106	2.1627590299583	positive
YJR047C	4.38391490420708	1.3341249814357	1.33231256661371	7.07596051798581	positive	0.99154193472887	0.490861780528524	-0.0108025947003306	1.93832499322958	zero
YJR048W	4.78977134710023	1.16901854287773	2.14617630956135	7.32058604989995	positive	0.936137110799927	0.378717504599744	0.144151770891362	1.73286431936738	positive
YJR049C	5.10574269923087	1.38428995134591	1.60010236500913	7.77670123918504	positive	1.57246433848477	0.443409128380636	0.524821588910071	2.60301828833461	positive
YJR050W	5.11213711732586	1.55017107458901	1.91117659416613	8.71512500023185	positive	1.41142701846835	0.374669864466126	0.672465024137305	2.30226612156318	positive
YJR051W	5.11125863636662	1.29101263346275	2.33718206642261	7.86995134375386	positive	1.46121576273566	0.348101428198721	0.748020493155481	2.23179890341921	positive
YJR052W	5.12872662907505	1.41856823223898	2.02968398726783	8.1619423708896	positive	1.47915390170279	0.343686328734874	0.713738942475614	2.19146714426154	positive
YJR053W	5.0477790164904	1.24860296993706	2.28598006809704	7.88139761678601	positive	1.34223237915068	0.323394035322819	0.670572896603117	2.04326838720718	positive
YJR054W	5.27066298102275	1.48153820827116	2.04788920214478	8.73429004008251	positive	1.5928100730118	0.414452374801545	0.668004149410344	2.57536656879631	positive
YJR055W	4.47697995111045	1.19342365489659	1.95050755333601	7.12671625046845	positive	1.10583700289667	0.435077571928224	0.303872461320589	1.88219485382042	positive
YJR056C	5.17595038162665	1.22408382119105	2.75206274701996	7.65648303476909	positive	1.41810542659154	0.48090944423374	0.286962259119708	2.53429079755923	positive
YJR057W	4.65753993005201	1.31475409740441	1.76502476688274	7.37231266195193	positive	1.2543374504393	0.468504003484917	0.448433916108961	2.23858903694519	positive
YJR058C	4.78791715682224	1.24514462714137	2.36256590278153	7.38492540531618	positive	1.12172254258738	0.395421038196901	0.267116834316234	1.96492334547912	positive
YJR059W	5.39527714905166	1.26883270829381	2.76676937591747	8.17589201239654	positive	1.53772489221246	0.456393881399583	0.473511969901824	2.42997974627261	positive
YJR060W	5.01430762664763	1.45158099746543	2.13356253818382	8.63669318460109	positive	1.3333058412187	0.389364858381123	0.588404922381375	2.34197656645448	positive
YJR061W	5.04860733513712	1.48137255932248	0.787625269439927	7.80196664492136	positive	1.52452705576127	0.318345432413635	0.862091441553896	2.19987847045794	positive
