gene,assay,estimate,est_error,lower_95,upper_95,eff_sample,rhat,seed,run_limit_stop,is_pos,is_neg,category,attempts
YBR291C,writer_add,1.2826156674945,0.363180221533541,0.563517963137672,2.10377446387641,1362.39335438785,1.00395068691563,123,FALSE,TRUE,FALSE,positive,1
YBR292C,writer_loss,-0.427882121614024,0.325232823246901,-1.11384045667326,0.28462980349049,532.719295448647,1.00870076129943,123,FALSE,FALSE,FALSE,zero,1
YBR292C,writer_eraser_loss,-0.466710479465216,0.422903064391027,-1.37391347317851,0.455733990058603,627.270923037048,1.00418583433077,123,FALSE,FALSE,FALSE,zero,1
YBR292C,writer_add,1.11490974121989,0.456921036613275,-0.144666476647012,1.95435029029937,188.661535076514,1.01826808181168,123,FALSE,FALSE,FALSE,zero,1
YBR293W,writer_loss,-0.526847718051903,0.236695913881072,-1.07039257738683,-0.0241902215877236,642.278872965048,1.00299668841952,123,FALSE,FALSE,TRUE,negative,1
YBR293W,writer_eraser_loss,-0.428092960388866,0.31879154160244,-1.18906925704297,0.240097917318018,1127.66864063016,1.00642014697012,123,FALSE,FALSE,FALSE,zero,1
YBR293W,writer_add,1.46340440192433,0.385091873022856,0.597250272470889,2.20727966499392,657.470463429548,1.00448631226914,123,FALSE,TRUE,FALSE,positive,1
YBR294W,writer_loss,-0.573879264797528,0.335285180325966,-1.28096939180681,-0.0254960574310371,70.1668694821033,1.04623810955706,125,FALSE,FALSE,TRUE,negative,3
YBR294W,writer_eraser_loss,-0.426717775161012,0.408940677680489,-1.33110576223712,0.447360638759443,306.724477847683,1.01151653183763,125,FALSE,FALSE,FALSE,zero,3
YBR294W,writer_add,1.33911795842213,0.366719295696129,0.554412284249734,2.14295905172023,1193.26594393923,1.00107211486274,125,FALSE,TRUE,FALSE,positive,3
YBR295W,writer_loss,-0.565940625628531,0.198718453723154,-0.967633937448945,-0.0376912989627958,289.396744722283,1.00937600214029,125,FALSE,FALSE,TRUE,negative,3
YBR295W,writer_eraser_loss,-0.461745526597886,0.267294697582483,-1.16147395882358,0.0379686047071541,197.083200863244,1.01570806090557,125,FALSE,FALSE,FALSE,zero,3
YBR295W,writer_add,1.52240254236574,0.324201439132202,0.841100358869241,2.22285797322233,918.393656239844,1.00181187925116,125,FALSE,TRUE,FALSE,positive,3
YBR296C,writer_loss,-0.464023351954675,0.335898110061341,-1.13088269985477,0.366157616116112,311.508046091037,1.00606283136976,123,FALSE,FALSE,FALSE,zero,1
YBR296C,writer_eraser_loss,-0.32397866721856,0.312403269393721,-0.992566974992994,0.480326439105753,348.351856869365,1.01117705061303,123,FALSE,FALSE,FALSE,zero,1
YBR296C,writer_add,1.1248020260809,0.499659906419947,0.244113625211137,2.69551414773243,68.9949621577679,1.05363400475507,123,FALSE,TRUE,FALSE,positive,1
YBR296C-A,writer_loss,-0.347868103699793,0.517390941983304,-1.43658747035571,0.719174876973876,626.030238223877,1.00901391130382,125,FALSE,FALSE,FALSE,zero,3
