Gene	rph1d_RNA_Rep1	rph1d_RNA_Rep2	rph1d_RNA_Rep3
YPL138C	11.0402	13.003	10.4739
YPL137C	35.3503	37.7174	31.2299
YPL136W	37.7483	41.4744	43.7699
YPL135W	134.587	153.19	129.973
YPL135C-A	477.545	471.333	386.318
YPL134C	8.64607	8.12599	9.42415
YPL133C	9.14134	8.98219	8.13793
YPL132W	17.6364	19.7749	16.1435
YPL131W	3084.31	3130.74	2806.54
YPL130W	1.18986	0.772935	1.00339
YPL129W	64.9852	68.2457	64.8989
YPL128C	22.282	22.2509	21.7192
YPL127C	66.2503	64.1244	59.9877
YPL126W	62.5704	65.5599	62.5269
YPL125W	18.3517	19.7956	18.3271
YPL124W	6.78604	6.7274	5.94665
YPL123C	6.19607	4.7474	5.19994
YPL122C	15.9596	18.0375	16.0846
YPL121C	0.0998634	0.432476	0.37896
YPL120W	6.91685	7.13813	6.70162
YPL119C-A	28.2497	40.7801	49.6304
YPL119C	6.40246	6.99398	6.72684
YPL118W	48.1326	52.1348	47.1483
YPL117C	100.309	103.576	102.804
YPL116W	15.5267	16.7561	14.9386
YPL115C	16.6808	17.481	16.1632
YPL114W	6.13196	5.09866	5.58468
YPL113C	3.56201	5.16767	4.02696
YPL112C	26.1693	29.6135	28.8512
YPL111W	91.4048	90.3616	80.8147
YPL110C	6.88629	6.87716	6.23076
YPL109C	5.0088	5.37022	5.21318
YPL108W	17.0697	16.3335	14.2918
YPL107W	11.4542	10.8692	10.547
YPL106C	747.096	788.572	738.016
YPL105C	25.9384	24.3292	23.3569
YPL104W	9.8303	11.5837	9.97841
YPL103C	11.6266	14.4935	11.7059
YPL102C	2.28666	1.32037	1.92831
YPL101W	31.6626	30.8237	28.8679
YPL100W	11.9884	12.0508	11.021
YPL099C	15.7984	21.6757	20.7797
YPL098C	150.165	128.11	145.741
YPL097W	8.83182	8.97862	7.85034
YPL096C-A	257.126	307.064	221.759
YPL096W	5.77146	6.37786	7.26903
YPL095C	7.17735	7.57642	7.42384
YPL094C	101.434	106.524	97.7271
YPL093W	175.441	177.611	177.193
YPL092W	17.0671	17.5521	14.8157
YPL091W	73.8441	78.3331	70.3865
YPL090C	555.513	540.516	560.861
YPL089C	15.958	15.8807	13.993
YPL088W	6.34517	6.42725	5.44148
YPL087W	24.8086	26.7951	21.4099
YPL086C	42.7373	43.7465	43.3185
YPL085W	22.9001	23.2673	21.1665
YPL084W	18.7879	19.6737	19.8084
YPL083C	14.8524	15.1602	14.4694
YPL082C	28.4395	29.9714	26.8393
YPL081W	219.317	225.865	213.448
YPL080C	23.098	20.006	13.9292
YPL079W	1496.31	1523.91	1550.48
YPL078C	117.974	115.338	107.037
YPL077C	7.2559	4.8284	6.15611
YPL076W	9.24997	7.82825	7.90458
YPL075W	17.8788	18.8444	16.0748
YPL074W	10.9018	11.1723	10.1319
YPL073C	9.02563	5.67145	8.61855
YPL072W	6.16902	7.37594	5.81012
YPL071C	16.437	14.073	14.4585
YPL070W	10.3142	11.0812	10.4107
YPL069C	14.0361	15.1247	14.3645
YPL068C	13.5171	16.471	14.4161
YPL067C	16.7529	16.7025	15.3218
YPL066W	13.7696	15.5256	13.1411
YPL065W	14.4178	14.7582	15.64
YPL064C	20.8756	21.7857	19.9055
YPL063W	59.5429	61.315	58.3734
YPL062W	0.268863	0.232872	0.510139
YPL061W	447.054	439.991	415.17
